Osmanlı Türkçesi sözlerive onların imce çevirileri,Osmanlı Türkçesi sözlerinçağdaş yazımları,Çağdaş Türkçe karşılığı
عبث,abes,"anlamsız, saçma, boş"
آب حيات âb(e) hayât,abıhayat,"bengisu, dirim suyu, yaşam suyu"
عابده,abide,anıt
عبوس,abus,1) somurtkan 2) asık (yüz)
عجائب,acayip,"1) şaşırtıcı, yadırgatıcı, şaşılan 2) şaşılıcak şey 3) olağanüstü"
عجله,acele,"1) tez, ivedi ** 2) tezelden, ivedilikle 3) ivedilik"
عجمى,acemi,"toy, ustalaşmamış, beceriksiz"
عجزه,aceze,düşkünler
عاجل,acil,ivedi
عاجز,aciz,1) güçsüzlük 2) beceriksizlik
,âciz,1) güçsüz 2) beceriksiz
عجول,acul,"tez canlı, ivecen"
عجوزه,acuze,kocakarı
آداب معاشرت,adabımuaşeret,görgü
عضله,adale,kas
عدالت,adalet,türe
آداب,adap,1) töre 2) yol yordam
عداوت,adavet,yağılık
عدد,adet,sayı
عادت,âdet,"1) görenek, töre 2) alışkı, alışkanlık 3) aybaşı"
عادتا,âdeta,"neredeyse, bayağı, sanki"
عادي,adi,"1) düşük nitelikli 2) aşağılık, bayağı 3) olağan, sıradan"
عادل,adil,"doğru, haktanır"
عفو,af,1) bağışlama 2) görevden alma
آفاقی,afaki,"1) gelişigüzel, amaçsız 2) nesnel"
آفت,afet,"1) kıran, yıkım 2) çok güzel (kız,kadın)"
عفو ايتمك,affetmek,1) bağışlamak 2) görevden almak
عافيت,afiyet,"sağlık, esenlik"
اغيار,ağyar,"yabancılar, eller"
أحباب,ahbap,"arkadaş, tanış, biliş, gönüldeş"
عهد ايتمك,ahdetmek,ant içmek
احفاد,ahfad,"torunlar, soy"
آخر,ahir,son
عهد,ahit,"1) antlaşma, sözleşme 2) ant 3) çağ"
آخذه,ahize,almaç
أحكام,ahkâm,yargılar
اخلاق,ahlak,"1) töre, aktöre 2) alışkanlık"
احمق,ahmak,"beyinsiz, bön"
اخشاب,ahşap,"ağaç, tahta"
احوال,ahval,"durum, durumlar"
عائدات,aidat,1) ödenti 2) kesenek
عائديت,aidiyet,"1) ilişkinlik, değginlik 2) ilgi"
عائله,aile,ocak **
عائد,ait,"ilgili, ilişkin, ilişik"
عقبنده,akabinde,"hemen sonra, ardından, ardı sıra"
عقد ايتمك,akdetmek,"1) (sözleşme, antlaşma) yapmak"
عاقبت,akıbet,son
عقل,akıl,1) us 2) bellek 3) öğüt
عقيم,akim,"kısır, verimsiz, sonuçsuz"
عكس,akis,"1) yankı, tepki 2) yansı"
عقد,akit,"sözleşme, bağıt"
عقل سليم,aklıselim,sağduyu
اقران,akran,yaşıt
اقسام,aksam,bölümler
عكسی,aksi,"ters, geçimsiz"
عكس العمل,aksülamel,tepki
اعلی,âlâ,"1) iyi, çok iyi 2) üstün"
علائم سما,alaimisema,"gökkuşağı, ebemkuşağı"
علاقه,alaka,"ilgi, ilişki"
علامت,alamet,"belirti, iz"
علامت فارقه,alametifarika,ayırtaç
على العجله,alelacele,"ivedilikle, çabucak, çarçabuk"
على العادة,alelade,"sıradan, olağan"
على الاصول,alelusul,"1) üstünkörü, gelişigüzel 2) yöntemine göre"
عالم,âlem,"1) evren, yaratkı 2) eğlenti 3) el gün"
علم شمول,âlemşümul,"evrensel, yaratkılık"
علنا,alenen,"açıkça, açıktan açığa"
علنی,aleni,"açık, ortada"
عليه,aleyh,"karşı, karşıt"
عالي,âli,"yüce, yüksek, ulu"
اعمی,âmâ,"görmez, görme engelli"
عملي,amelî,1) uygulamalı 2) kılgılık
عمليات,ameliyat,işlemce
عمليه,ameliye,işlem
عامل,amil,etken
آمر,amir,"buyurucu, baş, buyurgan"
عاميانه,amiyane,"sıradan, bayağıca"
عمه,amme,kamu
,amudufıkari,"omurga, belkemiği"
عنعنه,anane,gelenek
عنعنوی,ananevi,geleneksel
آنی,ani,"1) birden, ansızın 2) beklenmedik"
آنی,ani,apansız
عرض,araz,1) belirti 2) bulgu
اراضی,arazi,1) toprak 2) yer
عربده,arbede,çatışma
آرضیه,ardiye,yığımlık
عارضه,arıza,"aksaklık, bozukluk"
عرفة,arife,öngün
عرض,arz (I),"sunma, anlatma, bildirme"
عرض,arz (II),"en, genişlik"
أرض,arz (III),"yer, yeryüzü"
عصبی,asabi,"sinirli, öfkeli"
عصبيت,asabiyet,sinirlilik
اصالت,asalet,soyluluk
اعصاب,asap,"sinir, sinirler"
آثار عتيقه,asarıatika,eski çıkarmalar
اصغری,asgari,"en az, en aşağı, en düşük, en alt"
أصل,asıl,"1) kök, kaynak 2) gerçeklik 3) gerçek"
اصللي,asıllı,"kökenli, uyruklu"
اصلسز,asılsız,1) dayanaksız 2) uydurma
عصر,asır,yüzyıl
عاصی,asi,"başkaldıran, dikbaşlı"
اصيل,asil,soylu
عسكر,asker,"sü, süer **"
اصلی,asli,"birincil, köklü, baş"
عصری,asri,"çağdaş, çağcıl"
عاشق,âşık,"1) tutkun, vurgun 2) ozan 3) sevgen"
